stop_id,stop_no,stop_name,stop_circle,stop_location,remarks,latitude,longitude,accuracy,is_geotagged,updated_user_id,updated_timestamp
48,15 A,Forest Head Quarters,M,Opposite,NIL,8.5027933,76.9598267,1.58,TRUE,22,05:24.0
72,12:00 AM,Kanakakunnu,O,Infront,NIL,8.5097175,76.9583756,2.46,TRUE,20,34:07.2
70,112 A,John Cox College,R,opposite,opp. Kailas Bakery,8.5070083,76.9308017,1.76,TRUE,20,36:38.0
2,73 B,Alakapuri Convention Center,"V,M",Opposite to the centre ,NIL,8.50767,76.97046,1.58,TRUE,22,22:55.5
35,75 C,Cotton Hill - Government LP School,V,,NIL,8.5018038,76.9603368,4.26,TRUE,25,40:29.7
69,66 B,Jalavijnana Bhavan,O,Opposite,NIL,8.5313994,76.9583171,4,TRUE,24,37:36.9
4,55 B,12stop,Y,33,NIL,8.8131121,76.7540783,4.17,TRUE,14,41:33.2
32,76 B,Cononment Gate,V,Infront of NABARD,NIL,8.4986183,76.950245,1.79,TRUE,22,39:38.5
144,68 B,Oolampara - Mental Health Center,M,Opposite to hospital,NIL,8.5267545,76.9695294,4.99,TRUE,24,27:43.7
100,96 B,Kunchalum moodu,"Y,G",Opposite to Chelsa Hospital,NIL,8.4853417,76.971625,1.64,TRUE,20,05:47.2
171,110 A,Pettah- Pallimukku,V,1,NIL,8.4968754,76.9324709,2.72,TRUE,20,26:25.9
97,115 A,Kumarapuram,M,1,NIL,8.5131181,76.9274604,2.78,TRUE,20,00:46.4
176,70 D,Pippinmoodu Park,"R,O,B,V,G",In front of THIRUVITHAMKOOR KITCHEN,NIL,8.5173401,76.9734066,3.7,TRUE,24,05:08.8
123,57 B,Murinjapalam,"V,G",Cosmo Hosp - Infront,NIL,8.5158037,76.9347896,2.4,TRUE,20,23:25.6
117,62 B,MG College,B,Infront,NIL,8.5321329,76.9403655,6.1,TRUE,24,43:58.1
182,17 A,Police Training College,M,Infront,NIL,8.4926317,76.9587683,4.55,TRUE,25,53:27.7
104,41 A,Law College Jn.,B,1,NIL,8.5087567,76.9451967,1.58,TRUE,20,37:13.2
118,42,Mirandra,B,,NIL,8.5043298,76.9419543,1.9,TRUE,20,40:15.4
121,43,Mulavana,"Y,O",,NIL,8.5066773,76.9389382,2.24,TRUE,20,44:43.6
178,09 B,PMG - Mascot Hotel,R,,NIL,8.5089407,76.9495387,2.73,TRUE,20,02:56.0
186,93 A,Poojapura - HLL,M,Opposite to HLL,NIL,8.4954492,76.9780088,4.92,TRUE,21,04:17.0
177,9:00 AM,PMG,R,,NIL,8.5084683,76.9497183,2.16,TRUE,20,06:31.8
158,95 A,Pariksha bhavan,Y,Opposite to Paiksha Bhavan,NIL,8.4895689,76.9729405,6.4,TRUE,21,09:28.5
99,96 A,Kunchalum moodu,"Y,G",Near to bus shelter,NIL,8.4847754,76.9713136,5.1,TRUE,21,12:26.5
142,8:00 AM,Niyamasabha,V,Infront,NIL,8.50702,76.9505617,1.95,TRUE,20,13:47.0
151,07 B,Palayam - Saphalyam,B,,NIL,8.5024463,76.9503072,3.52,TRUE,20,19:19.3
145,21,Overbridge,M,,NIL,8.4893936,76.9473668,2.2,TRUE,20,34:52.2
188,92 B,Poojapura - SBI,"O,G",Opposite to Poojappura SBI,NIL,8.49674,76.98033,1.5,TRUE,20,43:01.7
184,94 B,Poojapura,M,Near to bus shelter,NIL,8.4931578,76.9748963,6.67,TRUE,21,03:56.4
146,83 A,Padayani,O,Near to padayani turn,NIL,8.5137265,76.9810932,19.64,TRUE,24,59:50.2
147,83 B,Padayani,O,Near to Padayani turn,NIL,8.5136001,76.9811873,5.7,TRUE,21,37:35.3
154,74 A,Pangode - Market,Y,Infront of fish market,NIL,8.5052798,76.9694307,7.83,TRUE,21,48:25.4
164,24 A,Pattoor,G,Syrian Church,NIL,8.4986813,76.9382768,9.64,TRUE,21,44:15.4
152,7:00 AM,Palayam - Stadium,"V,M",Near to Stadium,NIL,8.5047895,76.9512349,10.49,TRUE,21,59:03.5
107,20 B,LMS - Stadium,R,,NIL,8.5087187,76.9516994,2.3,TRUE,22,02:22.5
137,27 B,Nanthavanam Camp,"V,G",Opposite,NIL,8.5059114,76.9537044,3.94,TRUE,22,08:59.1
122,57 A,Murinjapalam,R,Cosmo Hosp - Opposite,NIL,8.5156178,76.934804,6.52,TRUE,24,57:59.0
128,11 B,Museum - Public Office Complex,Y,In front of Public Office,NIL,8.5081557,76.9542619,7.57,TRUE,21,18:10.7
119,30 A,Model School,"O,G",1,NIL,8.4937789,76.9540397,1.53,TRUE,22,41:11.7
120,30 B,Model School,"Y,O",Chenkal Choola,NIL,8.4939616,76.9539269,6.5,TRUE,21,41:17.0
126,11 D,Museum - Corporation Office,"B,R",2,NIL,8.5092167,76.9529833,4.72,TRUE,20,16:43.3
135,40 C,Nanthancode - Rajeev Lane,B,,NIL,8.513445,76.9534258,2.3,TRUE,22,20:09.4
133,40 B,Nanthancode,"V,G",2,NIL,8.5155714,76.9542158,1.52,TRUE,22,24:38.5
134,40 A,Nanthancode,B,RBI,NIL,8.515225,76.95378,4.2,TRUE,20,24:48.4
138,36 A,Narmadha - Income Tax Office,"V,G",Infront,NIL,8.5271986,76.9604499,1.5,TRUE,22,35:44.0
163,47 B,Pattom,B,SUT Hospital,NIL,8.5182983,76.9416117,2,TRUE,20,40:41.4
136,27 A,Nanthavanam Camp,G,Infront,NIL,8.505597,76.9539202,2.23,TRUE,22,56:09.1
110,48 A,Marappalam,M,Transformer,NIL,8.5201336,76.945486,5.38,TRUE,24,34:59.9
101,49 B,Kurvankonam,"Y,G",Federal Bank,NIL,8.5230273,76.9520459,5.8,TRUE,21,15:33.3
103,49 C,Kurvankonam - St. Thomas Church,"O,G",,NIL,8.5223783,76.9506,1.5,TRUE,20,18:12.3
111,48 B,Marappalam,M,Before Bridge,NIL,8.5202416,76.9459163,4.8,TRUE,24,30:34.3
173,70 A,Pippinmoodu,V,In front of MANCHATTI Hotel,NIL,8.5189537,76.9722143,4.2,TRUE,24,52:29.4
129,64 B,Muttada,Y,Opposite to Core Fitness,NIL,8.5346365,76.9491396,3.5,TRUE,24,19:16.0
130,64 A,Muttada,Y,Opposite to Sub Registrar Office,NIL,8.5346469,76.9495595,2.81,TRUE,24,16:56.5
132,64 D,Muttada - St Joseph School,"V,G",Near Thoppil Nagar,NIL,8.5353967,76.9455124,8.8,TRUE,24,07:52.4
131,64 C,Muttada - St Joseph School,V,Infront of Cosmopolitan Club,NIL,8.5354982,76.945456,7.06,TRUE,24,00:51.7
160,63 A,Paruthippara,"Y,G",Opposite Orion Hyper,NIL,8.5351418,76.9428741,3.3,TRUE,24,51:44.4
116,62 A,MG College,"O,G",Opposite,NIL,8.5322467,76.9401733,1.54,TRUE,20,09:41.7
114,18 A,Mettukada,Y,1,NIL,8.490174,76.9582094,2.22,TRUE,22,40:47.1
105,41 B,Law College Jn.,"R,R,V,G",Infront IMG,NIL,8.5086817,76.9452783,3.62,TRUE,25,40:15.9
179,14 B,Police Head Quarters,R,Opposite,NIL,8.5060933,76.9615267,1.46,TRUE,20,09:30.4
180,14 A,Police Head Quarters,R,Infront,NIL,8.5069033,76.9619217,2.27,TRUE,20,12:24.3
108,13 B,Manaveeyam Road,G,2,NIL,8.5086767,76.9617633,1.2,TRUE,20,16:08.2
124,11:00 AM,Museum,"V,G",,NIL,8.5083767,76.954065,97.27,TRUE,20,30:38.4
170,34 B,Peroorkada Govt HS,O,Infront,NIL,8.5343359,76.9637762,2.3,TRUE,20,45:09.0
166,33 B,Peroorkada,"Y,V,G",Near Junction Josco,NIL,8.5370733,76.9658667,1.5,TRUE,20,53:26.0
167,33 C,Peroorkada,Y,Post Office Opposite,NIL,8.5368492,76.966708,2.64,TRUE,20,58:36.6
168,33 A,Peroorkada Depot,"Y,V,G",,NIL,8.5347728,76.9676714,2.63,TRUE,20,00:51.2
174,70 B,Pippinmoodu,V,Junction,NIL,8.5187998,76.9722677,6.4,TRUE,24,57:53.5
98,115 B,Kumarapuram,M,"near kovil side,taxi stand",NIL,8.5145853,76.927578,1.98,TRUE,20,05:03.1
96,104 B,KSRTC Transport Bhavan,O,2,NIL,8.4806711,76.9457998,1.66,TRUE,22,59:02.6
28,102 A,Chenthitta - Govt Tamil School,M,In front of Steel Point,NIL,8.4841847,76.9563158,12.16,TRUE,24,07:57.6
95,104 A,KSRTC Transport Bhavan,O,1,Gate side,8.4805517,76.9457333,1.2,TRUE,20,20:33.6
239,105 A,Vazhapally,V,1,bus stop,8.4805233,76.9420783,3.3,TRUE,20,30:08.6
52,107 A,Fort Hospital,B,opp.Canara bank,NIL,8.4841967,76.9418017,1.1,TRUE,20,03:36.5
149,106 B,Padinjarenada,"R,O,V",2,at aid post,8.4827356,76.9419163,1.8,TRUE,20,45:09.0
196,69 A,SAP Camp,V,In front of SAP,NIL,8.5253686,76.9698348,5.5,TRUE,24,32:33.1
206,108 A,Sree Kateswaram Temple,M,1,NIL,8.4874187,76.9422479,1.8,TRUE,20,02:17.9
207,108 B,Sree Kateswaram Temple,M,2,temple side,8.4874083,76.9423017,1.7,TRUE,20,04:52.2
229,22 A,Uppiddamoodu Bridge,M,Tribunal Opposite,NIL,8.4907697,76.9403676,3.1,TRUE,20,08:43.9
230,22 B,Uppiddamoodu Bridge,M,Tribunal Infront,NIL,8.4907633,76.9403767,1.6,TRUE,20,10:37.7
8,109 A,Ambalathumukku,O,1,NIL,8.4938233,76.93617,2.38,TRUE,20,16:59.5
75,111B,Kannammoola,M,2,childrens home,8.5029369,76.9318251,3.27,TRUE,20,33:05.0
216,02 D,Thampanoor - KTDC Chaithram,"R,O,B,M",,Near to Sreekumar Theatre,8.4879383,76.9501273,7.5,TRUE,21,34:46.4
217,2:00 AM,Thampanoor - Main Bus Stand,"R,O,B,M",,Near to waiting shed,8.4877339,76.9518975,23.97,TRUE,19,37:03.8
94,113 B,Koyikkal Line,O,2,NIL,8.508545,76.9297533,1.64,TRUE,20,53:14.3
205,77 B,Shanthi Kavadam,O,Just after opposite Shanthi Kavadam from kannettumukku,NIL,8.48894,76.9614883,2.24,TRUE,22,31:23.9
57,116 B,Govt Medical College HS School,B,in front bus stop,NIL,8.516945,76.927755,5.08,TRUE,20,08:21.3
43,88 C,Elipodu,M,Opposite to Sree Rudra Medicals,NIL,8.5096941,76.9943737,15.34,TRUE,24,54:01.0
204,77 A,Shanthi Kavadam,O,In front of Shanthi Kavadam,NIL,8.4891987,76.9613553,16.99,TRUE,24,33:24.5
200,71 C,Sasthamangalam,"M,V",Infront of Fincare SFB,NIL,8.5129894,76.9722022,20.37,TRUE,24,12:06.3
190,45 B,Pottakuzhy,M,After Jn.,NIL,8.5141212,76.9378551,3.24,TRUE,20,28:03.8
50,84 A,Forest Office,O,Before forest office gate,NIL,8.5134174,76.984579,81.32,TRUE,24,51:24.4
